Province_State,Country,Last_Update,Confirmed,Deaths,Recovered,Province_State,Lat,Lon
"Allen, Kentucky",US,2020-07-31,215,8,0,"Allen, Kentucky",36.75197631,-86.19457544
"Allen, Louisiana",US,2020-07-31,1029,19,0,"Allen, Louisiana",30.65385745,-92.82442028
"Allen, Ohio",US,2020-07-31,603,42,0,"Allen, Ohio",40.77285242,-84.10802343
"Allendale, South Carolina",US,2020-07-31,172,3,0,"Allendale, South Carolina",32.98837386,-81.35321066
"Alpena, Michigan",US,2020-07-31,125,13,0,"Alpena, Michigan",45.03477666,-83.62212411
"Alpine, California",US,2020-07-31,2,0,0,"Alpine, California",38.59678594,-119.8223594
"Amador, California",US,2020-07-31,110,0,0,"Amador, California",38.44583082,-120.65696
"Amelia, Virginia",US,2020-07-31,72,1,0,"Amelia, Virginia",37.34081025,-77.98584649
"Amherst, Virginia",US,2020-07-31,101,0,0,"Amherst, Virginia",37.60308293,-79.14548696
"Amite, Mississippi",US,2020-07-31,192,4,0,"Amite, Mississippi",31.17467303,-90.80501621
"Anasco, Puerto Rico",US,2020-07-31,108,0,0,"Anasco, Puerto Rico",18.287985,-67.120611
"Anchorage, Alaska",US,2020-07-31,1576,10,0,"Anchorage, Alaska",61.14998174,-149.14269860000005
"Anderson, Kansas",US,2020-07-31,26,0,0,"Anderson, Kansas",38.21413251,-95.29272815
"Anderson, Kentucky",US,2020-07-31,67,1,0,"Anderson, Kentucky",38.00671029,-84.99171713
"Anderson, South Carolina",US,2020-07-31,1882,41,0,"Anderson, South Carolina",34.51828081,-82.63959517
"Anderson, Tennessee",US,2020-07-31,550,5,0,"Anderson, Tennessee",36.12684348,-84.19965764
"Anderson, Texas",US,2020-07-31,2174,7,0,"Anderson, Texas",31.81534745,-95.65354823
"Andrew, Missouri",US,2020-07-31,80,1,0,"Andrew, Missouri",39.98492163,-94.80163024
"Andrews, Texas",US,2020-07-31,253,6,0,"Andrews, Texas",32.30468633,-102.6376548
"Androscoggin, Maine",US,2020-07-31,547,6,0,"Androscoggin, Maine",44.1664747,-70.20380627
"Angelina, Texas",US,2020-07-31,1606,32,0,"Angelina, Texas",31.25457347,-94.60901487
"Anne Arundel, Maryland",US,2020-07-31,6684,216,0,"Anne Arundel, Maryland",39.00670238,-76.60329337
"Anoka, Minnesota",US,2020-07-31,3190,112,0,"Anoka, Minnesota",45.27476015,-93.24604565
"Anson, North Carolina",US,2020-07-31,298,2,0,"Anson, North Carolina",34.97403241,-80.09953279
"Antelope, Nebraska",US,2020-07-31,18,1,0,"Antelope, Nebraska",42.17695516,-98.0666283
"Antrim, Michigan",US,2020-07-31,34,0,0,"Antrim, Michigan",44.99690221,-85.15503082
"Apache, Arizona",US,2020-07-31,2969,129,0,"Apache, Arizona",35.39465006,-109.4892383
"Appanoose, Iowa",US,2020-07-31,40,3,0,"Appanoose, Iowa",40.74324454,-92.86865906
"Appling, Georgia",US,2020-07-31,544,16,0,"Appling, Georgia",31.74847232,-82.28909114
"Appomattox, Virginia",US,2020-07-31,67,0,0,"Appomattox, Virginia",37.37569884,-78.81340003
"Aransas, Texas",US,2020-07-31,149,12,0,"Aransas, Texas",28.10556197,-96.9995047
"Arapahoe, Colorado",US,2020-07-31,6798,362,0,"Arapahoe, Colorado",39.64977461,-104.3353617
"Archer, Texas",US,2020-07-31,17,0,0,"Archer, Texas",33.61569967,-98.68754589
