Province_State,Country,Last_Update,Confirmed,Deaths,Recovered,Province_State,Lat,Lon
"Amite, Mississippi",US,2020-07-23,151,4,0,"Amite, Mississippi",31.17467303,-90.80501621
"Anasco, Puerto Rico",US,2020-07-23,92,0,0,"Anasco, Puerto Rico",18.287985,-67.120611
"Anchorage, Alaska",US,2020-07-23,1068,9,0,"Anchorage, Alaska",61.14998174,-149.14269860000005
"Anderson, Kansas",US,2020-07-23,24,0,0,"Anderson, Kansas",38.21413251,-95.29272815
"Anderson, Kentucky",US,2020-07-23,41,1,0,"Anderson, Kentucky",38.00671029,-84.99171713
"Anderson, South Carolina",US,2020-07-23,1519,28,0,"Anderson, South Carolina",34.51828081,-82.63959517
"Anderson, Tennessee",US,2020-07-23,335,3,0,"Anderson, Tennessee",36.12684348,-84.19965764
"Anderson, Texas",US,2020-07-23,2062,4,0,"Anderson, Texas",31.81534745,-95.65354823
"Andrew, Missouri",US,2020-07-23,69,1,0,"Andrew, Missouri",39.98492163,-94.80163024
"Andrews, Texas",US,2020-07-23,212,3,0,"Andrews, Texas",32.30468633,-102.63765479999999
"Androscoggin, Maine",US,2020-07-23,513,5,0,"Androscoggin, Maine",44.1664747,-70.20380627
"Angelina, Texas",US,2020-07-23,1234,14,0,"Angelina, Texas",31.25457347,-94.60901487
"Anne Arundel, Maryland",US,2020-07-23,6105,214,0,"Anne Arundel, Maryland",39.00670238,-76.60329337
"Anoka, Minnesota",US,2020-07-23,2790,110,0,"Anoka, Minnesota",45.27476015,-93.24604565
"Anson, North Carolina",US,2020-07-23,267,2,0,"Anson, North Carolina",34.97403241,-80.09953279
"Antelope, Nebraska",US,2020-07-23,17,1,0,"Antelope, Nebraska",42.17695516,-98.06662829999999
"Antrim, Michigan",US,2020-07-23,31,0,0,"Antrim, Michigan",44.99690221,-85.15503082
"Apache, Arizona",US,2020-07-23,2797,115,0,"Apache, Arizona",35.39465006,-109.4892383
"Appanoose, Iowa",US,2020-07-23,34,3,0,"Appanoose, Iowa",40.74324454,-92.86865906
"Appling, Georgia",US,2020-07-23,455,16,0,"Appling, Georgia",31.74847232,-82.28909114
"Appomattox, Virginia",US,2020-07-23,55,0,0,"Appomattox, Virginia",37.37569884,-78.81340003
"Aransas, Texas",US,2020-07-23,111,0,0,"Aransas, Texas",28.10556197,-96.9995047
"Arapahoe, Colorado",US,2020-07-23,6197,352,0,"Arapahoe, Colorado",39.64977461,-104.3353617
"Archer, Texas",US,2020-07-23,13,0,0,"Archer, Texas",33.61569967,-98.68754589
"Archuleta, Colorado",US,2020-07-23,24,0,0,"Archuleta, Colorado",37.19474156,-107.0476867
"Arecibo, Puerto Rico",US,2020-07-23,193,0,0,"Arecibo, Puerto Rico",18.406631,-66.675077
"Arenac, Michigan",US,2020-07-23,39,2,0,"Arenac, Michigan",44.0636262,-83.89277559
"Arkansas, Arkansas",US,2020-07-23,146,1,0,"Arkansas, Arkansas",34.29145151,-91.37277296
"Arlington, Virginia",US,2020-07-23,2763,135,0,"Arlington, Virginia",38.8767675,-77.10139853
"Armstrong, Pennsylvania",US,2020-07-23,129,6,0,"Armstrong, Pennsylvania",40.81665618,-79.46290811
"Armstrong, Texas",US,2020-07-23,3,0,0,"Armstrong, Texas",34.96507426,-101.35748740000001
"Aroostook, Maine",US,2020-07-23,30,1,0,"Aroostook, Maine",46.65926321,-68.59841248
"Arroyo, Puerto Rico",US,2020-07-23,67,0,0,"Arroyo, Puerto Rico",17.998457000000005,-66.056546
